"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"ghost_1789627007106_t3vw6","Wolfenstein II: The New Colossus Deluxe Edition (CUSA07378)","TOKYO GAME SHOW","—","—","Нет","2.099,00 TL","85%","314,85 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627007837_1lcm2","TRIANGLE STRATEGY","TOKYO GAME SHOW","—","—","Нет","2.579,00 TL","30%","1.805,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627008920_k2ppd","The Wandering Village","TOKYO GAME SHOW","—","—","Нет","1.049,00 TL","30%","734,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627010142_on5u8","Survival: Fountain of Youth","TOKYO GAME SHOW","—","—","Нет","1.049,00 TL","40%","629,40 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627010658_tkoy5","WRATH: Aeon of Ruin VR","TOKYO GAME SHOW","—","—","Нет","730,00 TL","10%","657,00 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627012047_etw8p","RAIDOU Remastered: The Mystery of the Soulless Army","TOKYO GAME SHOW","—","—","Нет","2.149,00 TL","45%","1.181,95 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627012425_uh6d0","The Legend of Heroes: Trails into Reverie","TOKYO GAME SHOW","—","—","Нет","2.579,00 TL","50%","1.289,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627012821_3h8ol","Tales from the Borderlands","TOKYO GAME SHOW","—","—","Нет","699,00 TL","25%","524,25 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627013431_2gc5p","Lost Ember","TOKYO GAME SHOW","—","—","Нет","1.299,00 TL","50%","649,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627013886_c6g5t","Warhammer Pack: Hack and Slash","TOKYO GAME SHOW","—","—","Нет","1.749,00 TL","80%","349,80 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
