"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"ghost_1789776658566_9agln","Игровой донат","Предзаказы","—","—","Нет","—","","Нет","Нет","","#","—","—","—"
"ghost_1789776658919_eemd8","Clive Barker's Hellraiser: Revival","Предзаказы","—","—","Нет","—","","Нет","Нет","","#","—","—","—"
"ghost_1789776659452_ebdm0","MXGP 26","Предзаказы","—","—","Нет","—","","Нет","Нет","","#","—","—","—"
