"Страница","Тип","Источник","Режим","Скрыто","Родитель"
"Главная","list","Лидеры_продаж","carousel","Нет",""
"Главная","list","Новинки","carousel","Нет",""
"Главная","list","Предзаказы","grid","Нет",""
"Все игры","allgames","Все игры","grid","Нет",""
"Игры со скидкой","list","Новинки","bigcarousel","Нет",""
"Игры со скидкой","list","Предзаказы","grid","Нет",""
"Подборки","","","","Нет",""
"Профиль","","","","Нет",""
"Избранное","","","","Да",""
"Мои покупки","","","","Да",""
"Про A11.STORE","","","","Да",""
"Полезные статьи","post","Прием прием","grid","Нет",""
"Поддержка","","","","Нет",""
